social_site,date,number_results,error
telegram,2021-08-29,65,NA
truth_social,2021-08-29,0,NA
gettr,2021-08-29,150,NA
parler,2021-08-29,208,NA
gab,2021-08-29,146,NA
telegram,2021-08-30,66,NA
truth_social,2021-08-30,0,NA
gettr,2021-08-30,128,NA
parler,2021-08-30,93,NA
gab,2021-08-30,105,NA
telegram,2021-08-31,31,NA
truth_social,2021-08-31,0,NA
gettr,2021-08-31,63,NA
parler,2021-08-31,129,NA
gab,2021-08-31,68,NA
telegram,2021-09-01,41,NA
truth_social,2021-09-01,0,NA
gettr,2021-09-01,46,NA
parler,2021-09-01,104,NA
gab,2021-09-01,159,NA
telegram,2021-09-02,26,NA
truth_social,2021-09-02,0,NA
gettr,2021-09-02,16,NA
parler,2021-09-02,9,NA
gab,2021-09-02,153,NA
telegram,2021-09-03,37,NA
truth_social,2021-09-03,0,NA
gettr,2021-09-03,28,NA
parler,2021-09-03,1,NA
gab,2021-09-03,80,NA
telegram,2021-09-04,25,NA
truth_social,2021-09-04,0,NA
gettr,2021-09-04,26,NA
parler,2021-09-04,0,NA
gab,2021-09-04,124,NA
telegram,2021-09-05,26,NA
truth_social,2021-09-05,0,NA
gettr,2021-09-05,30,NA
parler,2021-09-05,2,NA
gab,2021-09-05,77,NA
telegram,2021-09-06,38,NA
truth_social,2021-09-06,0,NA
gettr,2021-09-06,34,NA
parler,2021-09-06,1,NA
gab,2021-09-06,72,NA
telegram,2021-09-07,32,NA
truth_social,2021-09-07,0,NA
gettr,2021-09-07,38,NA
parler,2021-09-07,2,NA
gab,2021-09-07,187,NA
telegram,2021-09-08,34,NA
truth_social,2021-09-08,0,NA
gettr,2021-09-08,31,NA
parler,2021-09-08,0,NA
gab,2021-09-08,139,NA
telegram,2021-09-09,14,NA
truth_social,2021-09-09,0,NA
gettr,2021-09-09,39,NA
parler,2021-09-09,1,NA
gab,2021-09-09,119,NA
telegram,2021-09-10,13,NA
truth_social,2021-09-10,0,NA
gettr,2021-09-10,35,NA
parler,2021-09-10,4,NA
gab,2021-09-10,94,NA
telegram,2021-09-11,27,NA
truth_social,2021-09-11,0,NA
gettr,2021-09-11,20,NA
parler,2021-09-11,1,NA
gab,2021-09-11,68,NA
telegram,2021-09-12,11,NA
truth_social,2021-09-12,0,NA
gettr,2021-09-12,22,NA
parler,2021-09-12,2,NA
gab,2021-09-12,91,NA
telegram,2021-09-13,21,NA
truth_social,2021-09-13,0,NA
gettr,2021-09-13,24,NA
parler,2021-09-13,2,NA
gab,2021-09-13,115,NA
telegram,2021-09-14,28,NA
truth_social,2021-09-14,0,NA
gettr,2021-09-14,33,NA
parler,2021-09-14,0,NA
gab,2021-09-14,80,NA
telegram,2021-09-15,40,NA
truth_social,2021-09-15,0,NA
gettr,2021-09-15,32,NA
parler,2021-09-15,1,NA
gab,2021-09-15,78,NA
telegram,2021-09-16,46,NA
truth_social,2021-09-16,0,NA
gettr,2021-09-16,64,NA
parler,2021-09-16,3,NA
gab,2021-09-16,175,NA
telegram,2021-09-17,24,NA
truth_social,2021-09-17,0,NA
gettr,2021-09-17,35,NA
parler,2021-09-17,2,NA
gab,2021-09-17,117,NA
telegram,2021-09-18,22,NA
truth_social,2021-09-18,0,NA
gettr,2021-09-18,20,NA
parler,2021-09-18,8,NA
gab,2021-09-18,102,NA
telegram,2021-09-19,46,NA
truth_social,2021-09-19,0,NA
gettr,2021-09-19,64,NA
parler,2021-09-19,1,NA
gab,2021-09-19,216,NA
telegram,2021-09-20,23,NA
truth_social,2021-09-20,0,NA
gettr,2021-09-20,46,NA
parler,2021-09-20,2,NA
gab,2021-09-20,131,NA
telegram,2021-09-21,30,NA
truth_social,2021-09-21,0,NA
gettr,2021-09-21,65,NA
parler,2021-09-21,1,NA
gab,2021-09-21,311,NA
telegram,2021-09-22,45,NA
truth_social,2021-09-22,0,NA
gettr,2021-09-22,111,NA
parler,2021-09-22,0,NA
gab,2021-09-22,210,NA
telegram,2021-09-23,73,NA
truth_social,2021-09-23,0,NA
gettr,2021-09-23,126,NA
parler,2021-09-23,0,NA
gab,2021-09-23,364,NA
telegram,2021-09-24,26,NA
truth_social,2021-09-24,0,NA
gettr,2021-09-24,38,NA
parler,2021-09-24,7,NA
gab,2021-09-24,132,NA
telegram,2021-09-25,17,NA
truth_social,2021-09-25,0,NA
gettr,2021-09-25,11,NA
parler,2021-09-25,1,NA
gab,2021-09-25,62,NA
telegram,2021-09-26,6,NA
truth_social,2021-09-26,0,NA
gettr,2021-09-26,33,NA
parler,2021-09-26,1,NA
gab,2021-09-26,74,NA
telegram,2021-09-27,36,NA
truth_social,2021-09-27,0,NA
gettr,2021-09-27,34,NA
parler,2021-09-27,1,NA
gab,2021-09-27,123,NA
telegram,2021-09-28,55,NA
truth_social,2021-09-28,0,NA
gettr,2021-09-28,35,NA
parler,2021-09-28,194,NA
gab,2021-09-28,123,NA
telegram,2021-09-29,34,NA
truth_social,2021-09-29,0,NA
gettr,2021-09-29,42,NA
parler,2021-09-29,59,NA
gab,2021-09-29,168,NA
telegram,2021-09-30,21,NA
truth_social,2021-09-30,0,NA
gettr,2021-09-30,40,NA
parler,2021-09-30,173,NA
gab,2021-09-30,115,NA
telegram,2021-10-01,34,NA
truth_social,2021-10-01,0,NA
gettr,2021-10-01,71,NA
parler,2021-10-01,69,NA
gab,2021-10-01,217,NA
telegram,2021-10-02,14,NA
truth_social,2021-10-02,0,NA
gettr,2021-10-02,35,NA
parler,2021-10-02,9,NA
gab,2021-10-02,89,NA
telegram,2021-10-03,12,NA
truth_social,2021-10-03,0,NA
gettr,2021-10-03,32,NA
parler,2021-10-03,6,NA
gab,2021-10-03,93,NA
telegram,2021-10-04,5,NA
truth_social,2021-10-04,0,NA
gettr,2021-10-04,33,NA
parler,2021-10-04,1,NA
gab,2021-10-04,79,NA
telegram,2021-10-05,7,NA
truth_social,2021-10-05,0,NA
gettr,2021-10-05,62,NA
parler,2021-10-05,5,NA
gab,2021-10-05,123,NA
telegram,2021-10-06,29,NA
truth_social,2021-10-06,0,NA
gettr,2021-10-06,127,NA
parler,2021-10-06,1,NA
gab,2021-10-06,369,NA
telegram,2021-10-07,20,NA
truth_social,2021-10-07,0,NA
gettr,2021-10-07,42,NA
parler,2021-10-07,48,NA
gab,2021-10-07,158,NA
telegram,2021-10-08,30,NA
truth_social,2021-10-08,0,NA
gettr,2021-10-08,43,NA
parler,2021-10-08,14,NA
gab,2021-10-08,106,NA
telegram,2021-10-09,11,NA
truth_social,2021-10-09,0,NA
gettr,2021-10-09,29,NA
parler,2021-10-09,32,NA
gab,2021-10-09,109,NA
telegram,2021-10-10,14,NA
truth_social,2021-10-10,0,NA
gettr,2021-10-10,32,NA
parler,2021-10-10,20,NA
gab,2021-10-10,85,NA
telegram,2021-10-11,20,NA
truth_social,2021-10-11,0,NA
gettr,2021-10-11,48,NA
parler,2021-10-11,4,NA
gab,2021-10-11,153,NA
telegram,2021-10-12,60,NA
truth_social,2021-10-12,0,NA
gettr,2021-10-12,267,NA
parler,2021-10-12,1,NA
gab,2021-10-12,699,NA
telegram,2021-10-13,56,NA
truth_social,2021-10-13,0,NA
gettr,2021-10-13,174,NA
parler,2021-10-13,1,NA
gab,2021-10-13,419,NA
telegram,2021-10-14,55,NA
truth_social,2021-10-14,0,NA
gettr,2021-10-14,128,NA
parler,2021-10-14,68,NA
gab,2021-10-14,250,NA
telegram,2021-10-15,38,NA
truth_social,2021-10-15,0,NA
gettr,2021-10-15,65,NA
parler,2021-10-15,35,NA
gab,2021-10-15,134,NA
telegram,2021-10-16,15,NA
truth_social,2021-10-16,0,NA
gettr,2021-10-16,65,NA
parler,2021-10-16,50,NA
gab,2021-10-16,138,NA
telegram,2021-10-17,22,NA
truth_social,2021-10-17,0,NA
gettr,2021-10-17,41,NA
parler,2021-10-17,33,NA
gab,2021-10-17,143,NA
telegram,2021-10-18,31,NA
truth_social,2021-10-18,0,NA
gettr,2021-10-18,45,NA
parler,2021-10-18,2,NA
gab,2021-10-18,104,NA
telegram,2021-10-19,40,NA
truth_social,2021-10-19,0,NA
gettr,2021-10-19,48,NA
parler,2021-10-19,0,NA
gab,2021-10-19,144,NA
telegram,2021-10-20,19,NA
truth_social,2021-10-20,0,NA
gettr,2021-10-20,62,NA
parler,2021-10-20,3,NA
gab,2021-10-20,110,NA
telegram,2021-10-21,20,NA
truth_social,2021-10-21,0,NA
gettr,2021-10-21,71,NA
parler,2021-10-21,55,NA
gab,2021-10-21,142,NA
telegram,2021-10-22,21,NA
truth_social,2021-10-22,0,NA
gettr,2021-10-22,35,NA
parler,2021-10-22,49,NA
gab,2021-10-22,110,NA
telegram,2021-10-23,14,NA
truth_social,2021-10-23,0,NA
gettr,2021-10-23,35,NA
parler,2021-10-23,66,NA
gab,2021-10-23,87,NA
telegram,2021-10-24,23,NA
truth_social,2021-10-24,0,NA
gettr,2021-10-24,21,NA
parler,2021-10-24,29,NA
gab,2021-10-24,81,NA
telegram,2021-10-25,19,NA
truth_social,2021-10-25,0,NA
gettr,2021-10-25,40,NA
parler,2021-10-25,16,NA
gab,2021-10-25,120,NA
telegram,2021-10-26,20,NA
truth_social,2021-10-26,0,NA
gettr,2021-10-26,118,NA
parler,2021-10-26,18,NA
gab,2021-10-26,255,NA
telegram,2021-10-27,33,NA
truth_social,2021-10-27,0,NA
gettr,2021-10-27,99,NA
parler,2021-10-27,40,NA
gab,2021-10-27,228,NA
telegram,2021-10-28,14,NA
truth_social,2021-10-28,0,NA
gettr,2021-10-28,64,NA
parler,2021-10-28,35,NA
gab,2021-10-28,176,NA
telegram,2021-10-29,28,NA
truth_social,2021-10-29,0,NA
gettr,2021-10-29,36,NA
parler,2021-10-29,32,NA
gab,2021-10-29,131,NA
telegram,2021-10-30,27,NA
truth_social,2021-10-30,0,NA
gettr,2021-10-30,119,NA
parler,2021-10-30,32,NA
gab,2021-10-30,255,NA
telegram,2021-10-31,17,NA
truth_social,2021-10-31,0,NA
gettr,2021-10-31,49,NA
parler,2021-10-31,19,NA
gab,2021-10-31,139,NA
telegram,2021-11-01,23,NA
truth_social,2021-11-01,0,NA
gettr,2021-11-01,34,NA
parler,2021-11-01,31,NA
gab,2021-11-01,113,NA
telegram,2021-11-02,19,NA
truth_social,2021-11-02,0,NA
gettr,2021-11-02,58,NA
parler,2021-11-02,25,NA
gab,2021-11-02,129,NA
telegram,2021-11-03,117,NA
truth_social,2021-11-03,0,NA
gettr,2021-11-03,127,NA
parler,2021-11-03,38,NA
gab,2021-11-03,262,NA
telegram,2021-11-04,47,NA
truth_social,2021-11-04,0,NA
gettr,2021-11-04,107,NA
parler,2021-11-04,37,NA
gab,2021-11-04,272,NA
telegram,2021-11-05,51,NA
truth_social,2021-11-05,0,NA
gettr,2021-11-05,86,NA
parler,2021-11-05,21,NA
gab,2021-11-05,230,NA
telegram,2021-11-06,20,NA
truth_social,2021-11-06,0,NA
gettr,2021-11-06,60,NA
parler,2021-11-06,52,NA
gab,2021-11-06,114,NA
telegram,2021-11-07,21,NA
truth_social,2021-11-07,0,NA
gettr,2021-11-07,51,NA
parler,2021-11-07,25,NA
gab,2021-11-07,110,NA
telegram,2021-11-08,17,NA
truth_social,2021-11-08,0,NA
gettr,2021-11-08,65,NA
parler,2021-11-08,32,NA
gab,2021-11-08,122,NA
telegram,2021-11-09,22,NA
truth_social,2021-11-09,0,NA
gettr,2021-11-09,37,NA
parler,2021-11-09,21,NA
gab,2021-11-09,78,NA
telegram,2021-11-10,20,NA
truth_social,2021-11-10,0,NA
gettr,2021-11-10,39,NA
parler,2021-11-10,22,NA
gab,2021-11-10,99,NA
telegram,2021-11-11,40,NA
truth_social,2021-11-11,0,NA
gettr,2021-11-11,195,NA
parler,2021-11-11,25,NA
gab,2021-11-11,372,NA
telegram,2021-11-12,51,NA
truth_social,2021-11-12,0,NA
gettr,2021-11-12,231,NA
parler,2021-11-12,23,NA
gab,2021-11-12,316,NA
telegram,2021-11-13,31,NA
truth_social,2021-11-13,0,NA
gettr,2021-11-13,137,NA
parler,2021-11-13,30,NA
gab,2021-11-13,217,NA
telegram,2021-11-14,16,NA
truth_social,2021-11-14,0,NA
gettr,2021-11-14,62,NA
parler,2021-11-14,37,NA
gab,2021-11-14,100,NA
telegram,2021-11-15,21,NA
